行业名称,行业代码,行业A股占比_pct,最新PE,PE分位数,近10日换手率_pct,近10日换手率分位数,ROE_pct,ROE分位数,ROE同比_pct,ROE_pct(市值加权),市值加权ROE分位数,市值加权ROE同比_pct,近1周涨跌幅_pct,近1月涨跌幅_pct,近1年涨跌幅_pct,模型意见,PE分位数得分,换手率分位数得分,ROE同比得分,动量得分,模型总得分,分析师意见
农林牧渔,801010,1.2382,85.1,81.19,59.23,97.29,0.58,10.53,-1.38,-3.85,13.04,-9.41,3.87,7.94,-9.47,低配,0,-1,0,0,-1,平配
基础化工,801030,4.6221,26.66,75.73,47.12,77.63,2.79,31.58,0.15,5.62,34.78,1.25,1.56,1.92,11.27,高配,0,0,1,1,2,平配
钢铁,801040,0.5908,31.45,79.84,21.78,44.9,0.41,15.79,-0.91,0.86,21.74,-1.01,-0.79,-0.92,-10.52,低配,0,0,0,-1,-1,平配
有色金属,801050,5.5357,18.66,34.55,50.61,79.86,5.71,42.11,1.44,12.64,78.26,4.6,-2.43,-0.26,41.6,平配,0,0,1,-1,0,平配
电子,801080,19.5861,63.02,81.82,51.61,79.3,2.31,36.84,0.13,11.72,95.65,7.53,-0.01,0.33,58.06,平配,0,0,1,-1,0,平配
汽车,801880,3.6038,25.5,24.11,28.21,18.87,2.86,26.32,-0.94,3.91,30.43,-0.87,0.01,-2.2,-15.36,低配,0,0,0,-1,-1,平配
家用电器,801110,2.1156,15.13,73.52,29.82,53.18,1.88,5.26,-1.58,8.28,26.09,-0.55,-0.49,-0.19,-3.58,低配,0,0,0,-1,-1,平配
食品饮料,801120,3.22,21.15,28.3,36.57,79.14,3.27,31.58,0.3,11.6,26.09,-1.28,-0.45,-1.89,-18.96,平配,0,0,1,-1,0,平配
纺织服饰,801130,0.5145,25.13,69.09,44.33,71.1,2.72,26.32,-0.04,3.03,34.78,-0.06,2.57,3.88,-5.16,高配,0,0,0,1,1,平配
轻工制造,801140,0.786,34.37,95.02,37.1,53.82,1.85,26.32,-0.65,0.85,4.35,-1.8,1.33,2.73,-6.81,低配,-1,0,0,0,-1,平配
医药生物,801150,6.298,32.3,61.58,52.73,94.43,2.51,26.32,-0.07,5.38,30.43,0.89,-2.08,-0.16,-14.48,低配,0,-1,0,-1,-2,平配
公用事业,801160,2.4318,21.87,59.84,27.47,44.9,3.46,26.32,-0.38,4.41,39.13,-0.3,0.2,-1.23,3.38,低配,0,0,0,-1,-1,平配
交通运输,801170,1.8674,16.96,78.66,22.2,56.29,3.4,31.58,0.15,3.98,43.48,0.24,-1.03,-0.97,-8.08,平配,0,0,1,-1,0,平配
房地产,801180,0.8293,17.23,59.29,42.07,72.77,-0.27,10.53,-0.6,-2.87,21.74,-0.33,-1.1,0.25,-15.9,低配,0,0,0,-1,-1,平配
商贸零售,801200,0.8341,34.79,57.87,35.35,59.63,2.09,47.37,0.54,6.64,82.61,3.38,2.33,0.97,-19.3,高配,0,0,1,1,2,平配
社会服务,801210,0.5041,41.8,25.85,39.67,35.03,2.58,47.37,-0.14,2.67,73.91,-0.58,2.83,3.38,-15.49,高配,0,0,0,1,1,平配
银行,801780,5.3188,6.38,82.21,13.86,82.8,4.97,26.32,-0.19,5.41,26.09,-0.21,2.19,5.88,-3.14,平配,0,0,0,0,0,平配
非银金融,801790,5.0816,9.66,0.0,19.55,46.66,4.27,57.89,1.06,7.49,65.22,2.03,-0.01,-0.2,-13.55,高配,1,0,1,-1,1,平配
综合,801230,0.201,79.5,92.17,49.83,86.15,2.04,47.37,0.32,-2.69,13.04,-3.88,-0.3,-0.07,18.44,低配,-1,0,1,-1,-1,平配
建筑材料,801710,0.8707,36.71,94.7,36.57,67.83,0.8,15.79,-0.89,4.17,43.48,1.23,2.1,2.15,16.36,平配,-1,0,0,1,0,平配
建筑装饰,801720,1.2942,14.63,95.18,29.47,47.37,1.38,26.32,-0.61,1.42,30.43,0.57,-0.68,0.29,-5.46,低配,-1,0,0,-1,-2,平配
电力设备,801730,8.2722,29.39,39.53,38.43,51.51,2.58,31.58,0.08,5.53,39.13,0.15,-5.44,-7.79,9.95,平配,0,0,1,-1,0,平配
机械设备,801890,6.2326,42.32,90.83,38.82,53.58,2.34,26.32,-0.32,4.54,39.13,0.72,0.48,1.04,14.24,低配,-1,0,0,0,-1,平配
国防军工,801740,2.6397,54.82,31.54,30.16,40.45,0.67,15.79,-0.48,3.7,47.83,1.16,3.49,0.41,-8.66,高配,0,0,0,1,1,平配
计算机,801750,4.8667,63.16,52.49,37.72,30.81,-0.5,5.26,-0.6,1.84,60.87,0.71,3.42,-4.09,-17.38,低配,0,0,0,-1,-1,平配
传媒,801760,1.7163,35.1,46.4,39.23,39.57,1.31,31.58,0.02,5.28,69.57,2.16,3.8,-4.19,-13.58,平配,0,0,1,-1,0,平配
通信,801770,5.8025,49.86,86.72,45.81,66.8,1.95,36.84,0.08,19.16,91.3,4.72,-0.5,-0.57,68.82,平配,0,0,1,-1,0,平配
煤炭,801950,0.9435,19.31,87.43,52.87,90.7,3.59,31.58,0.8,5.03,21.74,1.2,0.11,10.22,28.02,平配,0,-1,1,0,0,平配
石油石化,801960,1.1932,17.48,79.17,29.59,75.55,2.79,57.89,1.09,6.53,60.87,3.12,2.8,8.7,23.68,高配,0,0,1,0,1,平配
环保,801970,0.8057,25.41,77.42,30.59,50.58,1.64,26.32,-0.42,2.27,47.83,1.69,-0.04,1.0,-0.63,低配,0,0,0,-1,-1,平配
美容护理,801980,0.1838,28.48,6.41,41.47,68.02,4.07,47.37,0.05,6.21,34.78,0.09,0.49,-0.9,-28.24,高配,1,0,1,-1,1,平配
